,1. open,2. high,3. low,4. close,5. volume
2003-11-14,1053.2100,1063.6500,1043.4600,1050.3500,6494500000
2003-11-21,1050.3500,1050.3500,1031.2000,1035.2800,6655300000
2003-11-28,1035.2800,1060.6300,1035.2800,1058.2000,4221420000
2003-12-05,1058.2000,1074.3000,1058.2000,1061.5000,6928900000
2003-12-12,1061.5000,1074.7600,1053.4100,1074.1400,6792600000
2003-12-19,1074.1400,1091.0601,1068.0000,1088.6600,7747600000
2003-12-26,1088.6600,1098.4700,1086.1400,1095.8900,3271130000
2004-01-02,1095.8900,1118.8500,1095.8900,1108.4800,4252100000
2004-01-09,1108.4800,1131.9200,1108.4800,1121.8600,8366700000
2004-01-16,1121.8600,1139.8300,1115.1899,1139.8300,8036800000
2004-01-23,1139.8300,1150.5100,1134.6200,1141.5500,6710700000
2004-01-30,1141.5500,1155.3800,1122.3800,1131.1300,8552600000
2004-02-06,1131.1300,1142.7900,1124.4399,1142.7600,7755100000
2004-02-13,1142.7600,1158.8900,1138.7000,1145.8101,7200200000
2004-02-20,1145.8101,1158.9800,1139.0000,1144.1100,5821300000
2004-02-27,1144.1100,1151.6801,1134.4301,1144.9399,7209000000
2004-03-05,1144.9399,1163.2300,1143.7800,1156.8600,6971600000
2004-03-12,1156.8600,1159.9399,1105.8700,1120.5699,7680600000
2004-03-19,1120.5699,1125.7600,1102.6100,1109.7800,7418000000
2004-03-26,1109.7800,1115.2700,1087.1600,1108.0601,7229100000
2004-04-02,1108.0601,1144.8101,1108.0601,1141.8101,7488500000
2004-04-08,1141.8101,1150.5699,1134.5200,1139.3199,5470000000
2004-04-16,1139.3199,1147.7800,1120.7500,1134.6100,7129800000
2004-04-23,1134.5601,1142.7700,1116.0300,1140.6000,7664300000
2004-04-30,1140.6000,1146.5601,1107.2300,1107.3000,8157900000
2004-05-07,1107.3000,1127.7400,1098.6300,1098.7000,7865600000
2004-05-14,1098.7000,1102.7700,1076.3199,1095.7000,7896800000
2004-05-21,1095.7000,1105.9301,1079.3600,1093.5601,6801300000
2004-05-28,1093.5601,1123.9500,1090.7400,1120.6801,6762700000
2004-06-04,1120.6801,1129.1700,1113.3199,1122.5000,4837400000
2004-06-10,1122.5000,1142.1801,1122.5000,1136.4700,4839500000
2004-06-18,1136.4700,1138.9600,1122.1600,1135.0200,6491000000
2004-06-25,1135.0200,1146.3400,1124.3700,1134.4301,7158200000
2004-07-02,1134.4301,1144.2000,1123.0601,1125.3800,6784100000
2004-07-09,1125.3800,1125.3800,1108.7200,1112.8101,5199300000
2004-07-16,1112.8101,1119.6000,1101.0699,1101.3900,6635300000
2004-07-23,1101.3900,1116.2700,1083.5601,1086.2000,7463500000
2004-07-30,1086.2000,1103.7300,1078.7800,1101.7200,7406800000
2004-08-06,1101.7200,1108.6000,1062.2300,1063.9700,6901900000
2004-08-13,1063.9700,1079.0400,1060.7200,1064.8000,6322200000
2004-08-20,1064.8000,1100.2600,1064.8000,1098.3500,6205800000
2004-08-27,1098.3500,1109.6801,1092.8199,1107.7700,5175600000
2004-09-03,1107.7700,1120.8000,1094.7200,1113.6300,5165970000
2004-09-10,1113.6300,1125.2600,1113.6200,1123.9200,5093200000
2004-09-17,1123.9200,1130.1400,1119.8199,1128.5500,6296800000
2004-09-24,1128.5500,1131.5400,1108.0500,1110.1100,6444200000
2004-10-01,1110.1100,1131.6400,1101.2900,1131.5000,7393200000
2004-10-08,1131.5000,1142.0500,1120.1899,1122.1400,7108200000
2004-10-15,1122.1400,1127.0100,1102.0601,1108.2000,6944700000
2004-10-22,1108.2000,1117.9600,1094.2500,1095.7400,7939100000
2004-10-29,1095.7400,1131.4000,1090.2900,1130.2000,7936800000
2004-11-05,1130.2000,1170.8700,1127.6000,1166.1700,8329500000
2004-11-12,1166.1700,1184.1700,1162.3199,1184.1700,7238400000
2004-11-19,1184.1700,1188.4600,1169.1899,1170.3400,7485200000
2004-11-26,1170.3400,1186.6200,1167.8900,1182.6500,4475180000
2004-12-03,1182.6500,1197.4600,1172.3700,1191.1700,8046400000
2004-12-10,1191.1700,1192.4100,1173.7900,1188.0000,7481900000
2004-12-17,1188.0000,1207.9700,1188.0000,1194.2000,8805200000
2004-12-23,1194.2000,1213.6600,1193.3600,1210.1300,5253400000
2004-12-31,1210.1300,1217.3300,1204.9200,1211.9200,4447600000
2005-01-07,1211.9200,1217.8000,1182.1600,1186.1899,8017700000
2005-01-14,1186.1899,1194.7800,1175.6400,1184.5200,7387000000
2005-01-21,1184.5200,1195.9800,1167.8199,1167.8700,6431000000
2005-01-28,1167.8700,1177.5000,1163.7500,1171.3600,7983300000
2005-02-04,1171.3600,1203.4700,1171.3600,1203.0300,8126140000
2005-02-11,1203.0300,1208.3800,1191.5400,1205.3000,7328450000
2005-02-18,1205.3000,1212.4399,1197.3500,1201.5900,7438680000
2005-02-25,1201.5900,1212.1500,1184.1600,1211.3700,6288460000
2005-03-04,1211.3700,1224.7600,1198.1300,1222.1200,8325140000
2005-03-11,1222.1200,1229.1100,1198.1500,1200.0800,7770730000
2005-03-18,1200.0800,1210.5400,1182.7800,1189.6500,8530450000
2005-03-24,1189.6500,1189.6500,1168.7000,1171.4200,7902500000
2005-04-01,1171.4200,1189.8000,1163.6899,1172.9200,10449500000
2005-04-08,1172.7900,1191.8800,1167.7200,1181.2000,9309920000
2005-04-15,1181.2000,1190.1700,1141.9200,1142.6200,10599880000
2005-04-22,1142.6200,1159.9500,1136.1500,1152.1200,10894860000
2005-04-29,1152.1200,1164.8000,1139.1899,1156.8500,10450920000
